sl_no,State_Name,District_Name,Market_Name,Variety,Group,Arrivals,Min_price,Max_price,Modal_price,Date
1,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,439,4881,5000,4949,02-Jan-14
2,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,43,4850,5000,4925,02-Jan-14
3,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,45,4850,5000,4950,02-Jan-14
4,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,25,4850,5000,4950,02-Jan-14
5,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,4.2,4500,4650,4600,02-Jan-14
6,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,400,4861,5001,4950,04-Jan-14
7,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,35,4900,5001,4950,04-Jan-14
8,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,110,4875,4980,4950,04-Jan-14
9,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,65,4900,5001,4950,04-Jan-14
10,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,16.5,4450,4950,4825,04-Jan-14
11,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,565.09,4750,4900,4825,04-Jan-14
12,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,2.4,4550,4650,4600,04-Jan-14
13,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,335,4900,5011,4950,06-Jan-14
14,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,35,4900,5001,4950,06-Jan-14
15,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,120,4900,5000,4950,06-Jan-14
16,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,85,4900,5000,4950,06-Jan-14
17,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,477.27,4700,4850,4775,06-Jan-14
18,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,1.2,4600,4700,4650,06-Jan-14
19,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,450,4950,5100,5001,08-Jan-14
20,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,125,4900,5050,5000,08-Jan-14
21,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,215,4950,5075,5000,08-Jan-14
22,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,32,4900,5050,5000,08-Jan-14
23,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18,4900,5000,4950,08-Jan-14
24,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,403.26,4751,4900,4825,08-Jan-14
25,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,9.5,3725,3840,3785,08-Jan-14
26,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,0.5,4500,4750,4600,08-Jan-14
27,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,325,4875,5050,4950,10-Jan-14
28,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,220,4850,5000,4975,10-Jan-14
29,Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Shanker 6 (B) 30mm FIne,Fibre Crops,120,4875,5025,4975,10-Jan-14
30,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,25,4875,5025,4975,10-Jan-14
31,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,17.5,4911,5001,4945,10-Jan-14
32,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,615.87,4751,4901,4831,10-Jan-14
33,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,45,4950,5050,5000,12-Jan-14
34,Gujarat,Vadodara(Baroda),Bodeli(Hadod),Shanker 6 (B) 30mm FIne,Fibre Crops,10,4900,5050,5000,12-Jan-14
