,lower Modal_Price,upper Modal_Price
2020-12-01,4865.499817706983,5925.186174470453
2021-01-01,5034.035531370174,6231.393619044554
2021-02-01,4820.697600702288,6121.748022913684
2021-03-01,4912.229739116744,6308.765669230611
2021-04-01,4814.430720888343,6300.519271537013
2021-05-01,4551.844885074808,6122.553088953258
2021-06-01,4579.910343004345,6230.970955529354
2021-07-01,4582.796138604925,6310.509376199925
2021-08-01,4582.354960989261,6383.500918485982
2021-09-01,4241.151970917566,6112.93663729951
2021-10-01,4432.0252923173075,6372.091665063982
2021-11-01,4386.937265410502,6393.540954751582
2021-12-01,4517.530155157203,6559.410269420092
2022-01-01,4619.125842303816,6708.860109945232
2022-02-01,4612.810298010327,6747.072144197004
2022-03-01,4691.8442100329175,6868.939865496914
2022-04-01,4493.367405126086,6712.674483111554
2022-05-01,4313.589413431805,6574.454118257846
2022-06-01,4537.14576075321,6838.871531441742
2022-07-01,4546.806439422002,6888.7059390794075
