,sl_no,State_Name,District_Name,Market_Name,Variety,Group,Arrivals,Min_price,Max_price,Modal_Price,Price_Date
0,1,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,439.0,4881,5000,4949,2014-01-02
5,6,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,400.0,4861,5001,4950,2014-01-04
17,18,Gujarat,Vadodara(Baroda),Vagodiya,HB6,Fibre Crops,1.2,4600,4700,4650,2014-01-06
18,19,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,450.0,4950,5100,5001,2014-01-08
30,31,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,17.5,4911,5001,4945,2014-01-10
32,33,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,45.0,4950,5050,5000,2014-01-12
36,37,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,225.0,4950,5050,5000,2014-01-13
47,48,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,17.0,4921,5001,4965,2014-01-14
48,49,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,235.0,5200,5334,5300,2014-01-16
60,61,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,13.5,4810,5065,4975,2014-01-18
66,67,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,386.5,4951,5150,5100,2014-01-20
68,69,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,210.0,5000,5100,5050,2014-01-22
81,82,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,6.2,5010,5175,5090,2014-01-24
82,83,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,13.0,5200,5325,5250,2014-01-26
93,94,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,8.0,4960,5100,5050,2014-01-28
100,101,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,338.15,4951,5051,5011,2014-01-30
101,102,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,794.0,5100,5165,5150,2014-02-02
112,113,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,8.5,5000,5200,5125,2014-02-03
113,114,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,688.0,5101,5184,5150,2014-02-04
126,127,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,614.93,4951,5125,5075,2014-02-06
129,130,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,545.0,5100,5300,5200,2014-02-08
144,145,Gujarat,Vadodara(Baroda),Nasvadi(Thalkala),Other,Fibre Crops,6.0,4965,5185,5100,2014-02-10
145,146,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,239.0,5150,5235,5200,2014-02-11
157,158,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,16.5,4900,5160,5075,2014-02-12
159,160,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,245.0,5100,5250,5200,2014-02-14
169,170,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,35.0,5101,5170,5125,2014-02-15
172,173,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,42.0,5100,5250,5200,2014-02-16
181,182,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,661.3,5051,5165,5131,2014-02-18
190,191,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,16.0,4885,5050,4975,2014-02-20
192,193,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,421.0,5050,5150,5100,2014-02-22
201,202,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,18.5,5000,5101,5075,2014-02-24
207,208,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,15.0,5000,5101,5065,2014-02-26
209,210,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,89.0,5000,5100,5050,2014-02-28
218,219,Gujarat,Vadodara(Baroda),Bodeli(Modasar),Shanker 6 (B) 30mm FIne,Fibre Crops,10.0,5000,5100,5050,2014-03-02
219,220,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,340.0,5001,5101,5050,2014-03-04
231,232,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,8.0,4900,5100,5025,2014-03-06
232,233,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,268.0,5000,5100,5050,2014-03-08
242,243,Gujarat,Vadodara(Baroda),Jetpur-Pavi,Shanker 6 (B) 30mm FIne,Fibre Crops,12.5,4900,5100,5000,2014-03-10
250,251,Gujarat,Vadodara(Baroda),Karjan,Shanker 6 (B) 30mm FIne,Fibre Crops,335.91,4900,5175,5111,2014-03-12
252,253,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,215.0,5001,5100,5050,2014-03-13
265,266,Gujarat,Vadodara(Baroda),Nasvadi,Other,Fibre Crops,3.5,4785,5000,4950,2014-03-14
266,267,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,15.0,5000,5136,5050,2014-03-16
270,271,Gujarat,Vadodara(Baroda),Bodeli,Shanker 6 (B) 30mm FIne,Fibre Crops,1.0,5000,5100,5050,2014-03-18
